"";"x"
"14492";"@ThoughMind Να ρωτήσω εγώ κάτι? Γιατί όποιος ενδιαφέρεται για τη χώρα του και είναι κατά της χρησιμοποιησης των ανθρώπων αυτών ως πιόνια από τη Τουρκία είναι φασίστας και ακροδεξιός? Ενώ είναι παράνομο να πας με το έτσι θέλω σε θέλω. Το βρίσκω κάπως φασιστικό αυτό που έγραψες, δεν νομίζεις?"
"14493";"Aυτή η άγνωστη πόλη στην Αμερική ψηφίστηκε ως το καλύτερο μέρος για να ζήσεις "
"14494";"@titkovalex @TacticianGreek Η αλήθεια είναι ότι αναφερόμουν στις αντιγραφές τους, αλλά μου αρέσει που έχουν θιχτεί"
"14495";"@aliakovos Εχεις δίκιο. Αλλα η Αννα όχι. Δεν την άγγιξε πιστεύω."
"14496";"@demetriosalexa1 Έχει κυκλοφορήσει πολύ αυτό, το έχω κάνει retweet 2-3 φορές, αλλά thanks"
"14497";"@Tsikou_ Δεν έκανες κριτική για κάτι που έχει πει, του καταλόγησες κάτι βλακώδες, επίσης δεν σου είπα ""ναι αλλά οι προηγούμενοι έκαναν εκείνο"" , πες απευθείας κάτι άκυρο, πχ οτι είμαι ιδρυτικό μέλος της ΟΝΝΕΔ :v και μη το κουράζουμε άλλο"
"14498";"Η ιστοσελίδα χαρακτηρίζει «αντιδράσεις πολιτών» τις ύβρεις των ακροδεξιών σε βάρος του Σίμου Ρούσσου και αναπαράγει τα περί «τουρκικής προπαγάνδας», κατηγορία την οποία εξαπολύει διαρκώς ο επικοινωνιακός μηχανισμός της ΝΔ σε βάρος της Αριστεράς "
"14499";"@dobos21 @C_Amerikanou πλεον οταν θα σου γραφω κατι στο τελος θα βαζω ενα (χ) εαν ειναι χιουμοριστικο για να μην μπερδευομαστε."
"14500";"@C_Amerikanou Καποιοι υποστηριξαν ενα κομμα που εγινε κυβερνηση που πηρε μια χωρα σε νηνεμια με καλες σχεσεις με τα υπολοιπα κρατη με ικανοποιητικους ρυθμους αναπτυξης. Σε 8 μηνες μειωθηκε η αναπτυξη, εχουμε πολιτοφυλακες, ρητορικη μισους για προσφυγες και μεταναστες, ξυλο και εμπρησμους --&gt;"
"14501";"@AdolfFerte ΕΥΧΑΡΙΣΤΟΥΜΕ για τη βοήθεια και την στήριξη στην @GreeceMetapedia, την ηλεκτρονική εγκυκλοπαίδεια της ιστορίας του Ελληνισμού. ΠΑΡΑΚΑΛΟΥΜΕ να την γνωρίσετε και στους διαδικτυακούς φίλους σας κάνοντας RETWEET τα θέματα της. (Διαχειριστές @GreeceMetapedia)."
"14502";"Έχεις να πας σε κάποια θεατρική παράσταση, σε κάποια μουσική εκδήλωση ή σε κάποια έκθεση ζωγραφικής και δεν είσαι σίγουρος τι να βάλεις; "
"14503";""
"14504";"@myrtozax ..οι ομο'ι'δεάτες τού χαλβά (Τσιπρα)τής Ελλάδας"
"14505";"@tattan27051975 @Daskarolis_R Νεολαία με γούστο μπράβο του, σπανίζει σήμερα."
"14506";"Εμφανέστατα η Ιλιάδα δεν ήταν στα SOS ε; "
"14507";"Με την άλλη τη μαλάκω είχαμε πει μήπως τα πούμε σαββατοκύριακο και το θυμήθηκε."
"14508";"Για όσους δεν το ξέρουν ο κ.Θεοχάρης είναι Υπουργός Τουρισμού.Αρχικα δήλωσε ότι ο #KOVID19  «δεν τον ανησυχεί».Μετά ότι «θα έχει θετική επίπτωση»λόγω μετατόπισης τουριστών.Επειδή μάλλον χάνει λάδια σχέδιο αντιμετώπισης κρίσεων έχει;30εκ ήρθαν περσυ μπορεί να θέλουν να μεταλάβουν"
"14509";"@NikoAgo_SVT @KostasVaxevanis Μια χαρά του τα λέει. Και όχι δεν είναι δημοσιογράφος, φιλοτουρκος ίσως αλλά δημοσιογράφος όχι."
"14510";"@loukalex Όταν το Χαλάνδρι έχει γεμίσει τριτοδευτρα σκουπίδια θα ψηφίσουν τον δήμαρχο που τους αξίζει."
"14511";"Το ινστιτουτο ομορφιάς επιμελήθηκε τα μαλλιά της καλλονής natasha_velianiti, η οποία θα λάβει μέρος στα Καλλιστεία για τον τίτλο «Miss Tourism2020» που θα πραγματοποιηθούν τον Ιούνιο στην<U+0085> "
"14512";"Ένας από αυτούς τους αμόρφωτους είναι και ο Συμεωνίδης που υπερασπίστηκε την γραφή με ""αι""."
"14513";"@kyrosgranazis_ Τι σανό έχουμε φάει όλα αυτά τα χρόνια"
"14514";"Οι επιπτώσεις του κορονοϊού στο πρόγραμμα τουριστικής προβολής της Ηπείρου - OTA VOICE "
"14515";"Καθίστε σε μια καρέκλα και μετά διαβάστε πόσο αποτιμάται η περιουσία της Ελληνικής Εκκλησίας. Θα πάθετε σοκ!  μέσω του χρήστη @Makeleio.gr"
"14516";"@ttrikoriko Με στράβωσες"
"14517";"@skiourofatsa @MaryIglesias200 Εκλαψα μόλις το ειδα σας λεω"
"14518";"@nikosdiamond ΓΧαχαχαχα"
"14519";"Τι δεν καταλαβαίνει ο ΣΥΡΙΖΑ; Όταν η αντιπολίτευση γίνεται... ασύμμετρη!Το άρθρο μου στο NEWPOST (VOICES).  Καλή Κυριακή!<U+2764><U+FE0F> "
"14520";"Live streaming η συνέντευξη Τύπου Πανόπουλου: «Ούτε εγώ μπορώ να βλέπω τον Μαρινάκη, είναι θέμα αισθητικής» (vid) "
"14521";"@Goodactor3 Αυτή λίγο πριν βρέξει στο δάσος"
"14522";"#θεια_κοινωνια"
"14523";"@c0n_An @to_kazanaki @sto_dromo @koutavhs @entrollodoxos @Lampatzampa @el__el__ant @tzenak @re_aiiii @tsiougirl @antarasfg @harisstav @NikosBovolos @Mefistofelis_ @_nutellabrownie @ChefTalias Τόσους βρήκα και εγώ. Αισχος."
"14524";"Απλά ενημερώνω πως τους έκανα ανφόλο όλους. Τους περισσότερους ούτε που τους είχα ""δει"" ποτέ μου. Ισως όμως μαζί με τα ξερά να καήκανε και μερικά χλωρά. α) ας προσέχανε. β) σιγά μη τους λείψω. "
"14525";" #Kontra24 με την Αναστασία Γιάμαλη "
"14526";"@AGiamali"
"14527";"#κορονοιος #θεια_κοινωνια  "
"14528";"#Greece_Turkey_Borders #Greece_under_attack #greekborders #IStandWithGreece "
"14529";""
"14530";"#Kontra24 με την Αναστασία Γιάμαλη @AGiamali"
"14531";"Δυστυχώς ναι "
"14532";"@oriath Σήμερα έχουμε εφημ<U+0001F606><U+0001F606><U+0001F606> "
"14533";"Καλημέρα <U+0001F4FA><U+0001F4F9> "
"14534";"@Haidy53751492 Όταν λες δεν πίνω καφέ η ερώτηση που γίνετε είναι «και πως ξυπνάς»; <U+0001F602><U+0001F602><U+0001F602>"
"14535";"το βρίσκω πολύ ελληνικό μέχρι το κόκκαλο δηλαδή."
"14536";"Ειναι τοσο άθλιο το παπαδαριό που προτιμά να αρωστήσουν οι πιστοί του από τον ελάχιστο κινδυνο να τους χάσει απο πελάτες. Ψοφο τραγόπαπες"
"14537";"@dp13pao Παππα, σ αγαπούσα γιατί είσαι Παναθηναϊκός.. Το παρατραβήξες όμως, σαλτα κ γαμησου κ τραβά στην Κυψέλη για κανένα μονακι με παιδάκια.."
"14538";"@Real_gr ...που όλως τυχαίως είναι σεσημασμένοι νεοναζί, και άλλα κράτη τους απαγορεύουν να πατήσουν το πόδι τους στο έδαφος τους."
"14539";"@Goodactor3 Πορδή"
"14540";""
"14541";"- Μ'αυτά κ μ' αυτά ούτε ανέμελοι στα λιβάδια δεν μπορούμε να τρέξουμε"
"14542";"Μπροστά-μπροστα οι μητροπολίτες και η...γιατρός."
"14543";"4 Χόμπι για ψυχοθεραπεία που θα σε κάνουν να χαλαρώσεις  μέσω του χρήστη @BARBYSsecrets"
"14544";"Πέτρος Πανταζής. Ο καπετάν Γιασό της τηλεοπτικής ""Γειτονιάς"" με την αξιόλογη καριέρα στον Ελληνικό κινηματογράφο. "
"14545";"Έλληνας κάφρος οπαδός: ""Γιάννη, τον φάγατε"""
"14546";"@Mary31253984 Καλησπέρα σας!"
"14547";"Θα μεταδοθεί κανονικά, αρχίζοντας από αύριο, στις 14:10, και μετά καθημερινά μέχρι και το 8ο ετάπ την Κυριακή 15/3."
"14548";"Αρκετά πιθανό σενάριο μοιάζουν τα γκολ στην αναμέτρηση. <U+0001F1EA><U+0001F1F8><U+26BD><U+FE0F>"
"14549";"Αμφότερες έχουν κίνητρο σε μία αναμέτρηση όπου αναμένονται πολλά γκολ.<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+26BD><U+FE0F> "
"14550";"Ενδιαφέρον άρθρο "
"14551";"<U+02BC>ννα Χατζή: Δημοσίευσε την πιο σέξι φωτογραφία της στο instagram! (ΦΩΤΟ) -  "
"14552";"Ο ΣΥΡΙΖΑ, βαποράκι της τουρκικής προπαγάνδας |  "
"14553";"#PAOBC "
"14554";"Αριστερά και μεταναστευτικό - Δ. Κωνσταντακόπουλος  "
"14555";"@Rantanp49061536 Ακόμα τοποθετείς τον Συριζα στην ""αριστερά"" ? Δεν έχει κάνει αρκετή ζημία 4 χρόνια τώρα ?"
"14556";"@K_omegas Νομίζω ότι αυτοί που έχουν πάρει άσυλο, δικαιούνται και ταξιδιωτικά έγγραφα για να ταξιδέψουν σε ΕΕ ...."
"14557";"@CFOTINI Ζητιανοξυλο"
"14558";"Στο 1,9% η εκτίμηση της ΕΛΣΤΑΤ για την αύξηση του ΑΕΠ το 2019 "
"14559";"@orestis_113 @MetallicGirl_ Εσυ που τον λες μαλακισμενο εισαι στο ιδιο επιπεδο"
"14560";"@sport24 Οχι ρωτησες τους Ελληνες δημοσιορουφιανους αν το ΕΠΙΤΡΕΠΟΥΝ"
"14561";"Αυτη η ΑΗΔΙΑ οτι Ελληνας φιλος των λεικερς εβρισε τον (κυριο )γιαννη ΠΡΕΠΕΙ ΝΑ ΤΕΛΕΙΩΣΕΙ ..Δεν ξερω τι συμφερον υπαρχει απο πισω ΑΛΛΑ σιγουρα ΔΕΝ ΕΒΡΙΣΕ τον (κυριο) ουτε τον αδελφο του ΕΚΑΝ ενα σχολιο που γινετε σε ολα τα γηπεδα του κοσμου .."
"14562";"@Nas1781 @LoJoMedia Βλακειες τα αδελφια τη εχουν δει οτι ειναι οι μονοι καλοι &amp; πρεπει να τους προσκυνας ....Λιγο το κακο πολυ η διαφημηση ...."
"14563";"Καλή δύναμη. "
"14564";"Ο ΣΥ.Φ.Α.ΓΕ. στον αγώνα ατομικής χρονομέτρησης από τον ΖΕΥΣ "
"14565";"Αλμπέρ Καμύ - Η ζωή στην πολιτεία της Πανούκλας "
"14566";"@w0nd3rchi1d Είναι γενικότερο ξες"
"14567";"Θανάση Αντετοκούνμπο καλησπέρα"
"14568";"We love truffles... "
"14569";"Γιορτάζουμε την Σαρακοστή με νηστίσιμα τρουφάκια από σοκολάτα bitter και ξηρούς καρπούς! <U+0001F343>¦<U+FE0F><U+0001F9FF>"
"14570";"Μ. Πάλμερ: Προϊόν παραπλάνησης η μετακίνηση μεταναστών στα ελληνοτουρκικά σύνορα #kathimerini #καθημερινη "
"14571";"Όσα είπαν χωρίς<U+0085> χειραψίες Μητσοτάκης και Ρέγκλινγκ "
"14572";"Ο δήμαρχος που «σέρνεται» πίσω από τον «συνεργαζόμενο» "
"14573";"Ώρα για στοίχημα: Λεβερκούζεν σε όλα τα ταμπλό  Betting! ;) #stoixima #bet3GR"
"14574";"Γεωπολιτική Κρίση με φόντο το Μεταναστευτικό - Προσφυγικό  "
"14575";"Σας αγαπώ!!!<U+2764><U+FE0F> "
"14576";"-Κοιτα λογικά στο Β εξάμηνο θα έχει προβλήματα η αγορά ,τώρα έχει στοκ να κινηθεί !"
"14577";"@kyranakis Από εποχής διακυβέρνησης μας ως ΝΔ ή από το 2015?"
"14578";"Κυβερνοασφάλεια και νέες προκλήσεις στην ψηφιακή καθημερινότητα της σύγχρονης εποχής "
"14579";"#μάρκετινγκ #επιχείρηση #επιχειρηματικότητα #marketing #strategy #business"
"14580";"@Gath___ Είστε πολύ άδικοι με το τσίπουρο με το Γλυκάνισο."
"14581";"@Donald_drunk013 Τη Πέμπτη η πορεία δεν ήταν του ΣΥΡΙΖΑ. Ήταν φοιτητών που πρόσκεινται στην ΑΝΤΑΡΣΥΑ και τη ΛΑΕ κατά βάση."
"14582";"@TikasLuis Ρε εισαι μλκς μπιτ για μπιτ ;"
"14583";"Γαμω την τουρκια σας,γαμω."
"14584";"Σε βαρεθηκα."
"14585";"@Rock_n_Ball Θαβρωμιαγωνιτσααντοπαρωαποφαση"
"14586";"@SkoupaDoo (Χαμπαριδενπηρα)"
"14587";"@Rock_n_Ball Αααχαχαα:) καλα γω δεν το λεω για πλακα -κατσε να δουμε πως παει η διαχυτη φαση ""τηνυγειαμαςναχουμε"" κ θα σε ενημερωσω"
"14588";"@LazarosKokkalis Δεν είναι το μείζον για μένα η μονάδα μετρήσεως. Το Google Maps χιλιόμετρα μου βγάζει. Αυτό που θέλω να αναδείξω πόσο σημαντικό είναι το Καστελλόριζο για την προβολή που μας δίνει + πόσο distorted είναι η έννοια που πολλοί έχουμε για την πραγματική γειτονιά μας"
"14589";"2) Τίρανα: 740"
"14590";"3) Σκόπια: 754"
"14591";"Ποντγκόριτσα: 313"
"14592";"Ρώμη: 671"
"14593";"4) Αμμάν: 432"
"14594";"5) Τίρανα: 507"
"14595";"Mε μπομπάρδες τρικάταρτες"
"14596";"Ο ήλιος χρυσίζει"
"14597";"τουιτεράκια μου γλυκά !!!!"
"14598";"Ρωμη 50 ευρω Βενετια 106 ευρω, Νεα Υορκη 429 ευρω, Βερολινο 60 ευρω"
"14599";"Μαρίας Πάλλα Ο<U+1F31> <U+1F08>ρχάριες  "
"14600";"<U+1F08>θανασίου Κ. Χριστοδούλου Τό καθρεφτάκι "
"14601";"@Lnzlpd Λέγεται θράσος! Αν εξακολουθείς να το σκέφτεσαι κ δεν το διαολοστελνεις τότε είσαι γκαου κ καλα κάνει ότι κάνει ( δεν αναφέρομαι σε σένα προσωπικά μην παρεξηγηθούμε)"
"14602";"@_Lila_Pause_ @bkex Όλα θα πάνε καλά. Σε τόσους πήγαν γιατί όχι σε εσένα; Βγάλε μόνο το άγχος και αφέσου (όσο πιο πολύ είναι αυτό δυνατό). Μη χάσεις μόνο την ελπίδα σου. Αυτή είναι που μας φέρνει σε επαφή με την πραγματικότητα, αυτή μας κάνει να προσμενουμε και αυτή μας κρατάει στη ζωή! <U+0001F618>"
"14603";"Λογικά θα παίξει ο #skai_xeftiles  την είδηση, αφού είναι ευαίσθητοι εκεί σε τέτοια ζητήματα, μετά την τρομοκρατική επίθεση με σπρέη στο σπίτι του @ArisPortosalte "
"14604";""
"14605";"@KatPanagopoulou Δυστυχώς όμως στην Ελλάδα πολλές φορές δεν είναι θέμα ταμπού, όλα γυρνάνε εκεί που μας πάει ο άνεμος και η παιδεία μας."
"14606";"@Fraulein_elise Εγώ είμαι Πειραια"
"14607";"@ManoloAthan77 Ανιωθος είσαι.. <U+0001F602><U+0001F602>"
"14608";"@__liaki___ Μεγάλες αλήθειες λες..<U+0001F602><U+0001F602>.Αλλα τι να κάνουμε ο Ολυμπιακός είναι σεισμος<U+0001F609><U+0001F609>"
"14609";"@piperorizzza Χάρηκα..Γιωργος<U+0001F602><U+0001F602>"
"14610";"@RedBasket71 @w0nd3rchi1d Με Μπαρτζώκα ο Σλούκας είχε μεγαλύτερο ρόλο στον Ολυμπιακό. Ο Μπαρτζώκας θυμάμαι συχνά να τον εκθειάζει. Όταν ήρθε ο Σφαιρό ο Σλούκας μπήκε σε δεύτερη μοίρα και βγήκε μπροστά ο Μάντζαρης. Ίσως συνετέλεσε στην φυγή του."
"14611";"@EllNikos Κοιτα πιστευοντας οτι οι δημοσκοπησεις δεν ειναι πολυ μακρια απ την πραγματικοτητα, κοινως μεγαλο μερος του πληθυσμου συμφωνει με τις ενεργειες της κυβερνησης, τοτε ναι ειναι ""χαστουκι"" αλλα με διαφορετικο τροπο απ οτι το εννοει ο συντροφος"
"14612";"Το Find X2 Pro είναι η νέα ναυαρχίδα της Oppo "
"14613";"#aekfc #aekfcseason2019_20 #aekfamily"
"14614";""
"14615";"@mgrigorakis Πολύ λυπήθηκα για την Πρωτοψάλτη.."
"14616";"@akispanagiot Να είσαι πολύχρονος!"
"14617";"Δημοφάντης: Πολυτέλεια τα ανοιχτά σύνορα <U+0096> Δεχόμαστε επίθεση α... "
"14618";"Υπάρχουν περίπου 300 000 - 400 000 άλκες  που περιφέρονται ελεύθερα στα δάση της Σουηδίας!<U+0001F98C>"
"14619";"@swedense @EEAthina @EP_Hellas "
"14620";"Μου λέει ότι πρέπει να μασάω την κάθε μπουκιά για 30 sec κ γω σε 30 δεύτερα έχω φάει ένα χάμπουργερ κ μία πατάτες..."
"14621";"-Ξερεις γιατι η Τουρκια δν εχει κρουσματα κορωνοϊου?"
"14622";"-Γιατι?"
"14623";"Κι εδω βλεπουμε αλλο ενα λαμπρο μυαλο που εχει βγαλει αυτη η χωρα "
"14624";"ΕΠΙΤΕΛΟΥΣ... ΤΕΛΟΣ!!! Πρόσφυγες: Τέλος τα επιδόματα και οι παροχές σε όσους έχουν άσυλο λέει ο Μηταράκης "
"14625";"@aeliosmaster1 Έτσι ακριβώς!"
"14626";"Όταν ο σκοταδισμός απειλεί μία κοινωνία πολιτών συνεπικουρούμενος από μία ανίκανη να τον κλείσει φυλακή ή ψυχιατρείο πολιτεία. "
"14627";"Αν το πρόβλημα σου είναι ο ξένος που ήρθε και όχι αυτοί που τον οδήγησαν να φύγει, είσαι αμοιβάδα.Στα σύνορα και στα νησιά δοκιμάζονται ανθρώπινες ψυχές.  Έλληνες και ξένοι."
"14628";"Γκάφα ΕΟΔΥ και  εξάπλωση ιού στην Αχαία"
"14629";"Και ένας έκλασε"
"14630";"Είμαστε σε επιφυλακή.<U+0001F635><U+0001F635>"
"14631";"@pasxalia4 Πόσο μπροστά ο Μεσαίωνας όμως ε;<U+0001F602><U+0001F602>"
"14632";"Το τραγούδι της <U+02BC>νοιξης ξεκίνησε, το ακούτε; "
"14633";"@rapidis Πάντα προδότες."
"14634";"τα χιλιοπαιγμένα κ χιλιοειπωμένα. Τότε καταλαβαίνεις ότι το σύνθημα ""ανοιχτά σύνορα σε όλους"" ήταν εξαρχής λάθος, ότι οι τοπικές κοινότητες, ιδίως αυτές στα σύνορα δεν είναι κάποιοι ""ξενόφοβοι"" ""ρατσιστές"", αλλά άνθρωποι που μπορεί κάπου να'χουν κι αυτοί ένα δίκιο."
"14635";" "
"14636";"ΟΝΝΕΔ: Η ΑΔΕΔΥ προσβάλλει τις γυναίκες   μέσω @athensvoice"
"14637";"Έρχεται άλλο γκρουπ από τους Αγίους Τόπους"
"14638";"  "
"14639";"@georgekambosos @peterkahn @loudibella @DiBellaEnt @sweatboxboxing #ITR"
"14640";"Πώς είδαν οι οικονομολόγοι το ΑΕΠ του 4ου τριμήνου "
"14641";"<U+26CF> Οι 10ετεις αρχαιολογικές έρευνες στην αρχαία Θουρία επιβεβαιώνουν ότι η χαμένη εδώ και καιρό πόλη ήταν πολύ πιο σημαντική από όσο πιστεύαμε! #passengergr  "
"14642";"Τριαντάφυλλα σκορπίζουν»."
"14643";"@scirocco1908 @DennisGR97 @__iSeeYou_ ΚΑΛΗΜΕΡΑ ΓΑΜΩ ΤΟΝ ΠΕΙΡΑΙΑ!"
"14644";"@scirocco1908 @DennisGR97 @__iSeeYou_ Ρε! Μην κάνετε bullying στο παιδάκι μια κουβέντα είπε!"
"14645";"Απόσπασμα από την ομιλία μου για το Σ/Ν: ""Στρατηγική αναπτυξιακή προοπτική των Οργανισμών Τοπικής Αυτοδιοίκησης, ρύθμιση ζητημάτων αρμοδιότητας Υπουργείου Εσωτερικών και άλλες διατάξεις."" - Η απόδειξη της ειλικρινούς σχέσης με τον Ελληνισμό σε άμεση προτεραιότητα. @ellinikilisi "
"14646";" "
"14647";"@zeta08146123 Αυτή την στιγμή στο σπίτι τα ουίσκι μου είναι ότι κοντινότερο κυκλοφορεί σε οινόπνευμα <U+0001F601>"
"14648";"Είναι εποχές να γίνουν ρεζίλι! "
"14649";"Σαββατο πρωι 12:04 και πινω ηδη τον δεύτερο καφε. Αυτα ειναι τα νιατα;"
"14650";"Τριάντα τρία χρόνια πριν, ο αέρινος εξτρέμ της Σαουθάμπτον Μάθιου Λε Τισιέ είχε σημειώσει ένα υπέροχο γκολ...Θαυμάστε τον!!! "
"14651";"@stamatismalelis @mpaountolino Δηλαδή στο mega, άλλος έχει την ευθύνη για το ειδησεογραφικό μαγκαζίνο άλλος για το ειδησεογραφικό δελτίο;"
"14652";"@Dora_Bakoyannis Ναι, από Ντόρα θέλουμε τελικά,εθνικές καθαρές κουβέντες..και οχι  GLOBALITIKES αλήθειες..!!!"
"14653";"Πρέπει να φτιάξω ένα μπλουζάκι που θα λέει, μην ανησυχείτε, είναι τσιγαρόβηχας."
"14654";"Απίστευτο περιστατικό: Έλληνας έβρισε τον Γιάννη και τον Θανάση στο Λος <U+02BC>ντζελες! (vid)  via @gazzetta_gr"
"14655";"απογονος κι αυτος του Μεγαλεξανδρου "
"14656";"Μια γκεστ εμφάνιση στο @Onemangr σε μη ρεπορταζιακο κλίμα"
"14657";""
"14658";"@spigaro Επίσης μια άλλη ιδέα που μου ήρθε τώρα τσάκα τσάκα είναι να το βγάλουν σε σφηνακια. Έτσι κι αλλιώς βγάζουν ένα δίσκο κάποια στιγμή. "
"14659";"@spigaro Η μονη λύση είναι ο πρώτος που θα μεταλάβει να το πιει μονορουφι όλο."
"14660";"-Σεξ κάνεις; "
"14661";"-Ποτε ποτε "
"14662";"Μην το πείτε στον Τσιόδρα. "
"14663";"Τα Καρναβάλια είναι ειδωλολατρικά. <U+0001F607> Ρωτήστε και την κ. Γιαμαρέλλου. "
"14664";"@PrimeministerGR @richardquest Όταν ο πρωθυπουργός σου ξέρει καλά αγγλικά...."
"14665";"@HellasJournal Ντροπή του! Χίλιες φορές ντροπή του! Τους Αντετοκούνμπο;;; Ανεγκέφαλος"
"14666";"@kostas_pf Τέτοιο <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>"
"14667";"@JnantinR @sexyprovataki Εγω σου βρηκα σίδερο παντως <U+0001F602>"
"14668";"@sapies_kaltses Προσπαθώ <U+0001F602><U+0001F602><U+0001F602>"
"14669";"Σήμερα που έλειπαν όλοι,  για ""ταχαμ ταχαμ"" λόγους, μαντέψτε πόσο ξεκαθάρισαν όλες οι δουλειές και κατά πόσο οργανώθηκαν όλα!! Αρκεί τώρα να γίνουν βέβαια."
"14670";"Προφανώς και στην αραβική μπήκαν πατάτες κι έγινε φάση τυλιχτό (υπάρχουν ντοκουμέντα)!!"
"14671";"Η Βίκυ Φωτεινού, Program Manager της Crowdpolicy, μιλάει για το Visa Innovation Program και την πρόσκληση για συμμετοχή στον 2ο κύκλο στην εκπομπή Διασυνδεθείτε."
"14672";"Η 4η πρόσκληση υποβολής αιτήσεων ανοίγει στις 17/03/2020 και ώρα 14:00. Εξασφαλίστε στην πόλη σας επιχορήγηση για δημιουργία ασύρματου δικτύου πρόσβασης στο internet."
"14673";"8 μήνες τώρα αρκετά δεν τραβάμε ???? ... τι άλλο θα μας τύχει ρε πούστη μου ! "
"14674";"Αφήστε να μιλήσει ο ειδικός για τον κορωνοιό κ. Μάνεση, δεν ολοκληρώνει απάντηση ο άνθρωπος με την πολυλογία σας... #skmanesis #κορονοϊός #κοροναϊος"
"14675";"Δεν υπάρχει ανθρωπιστική κρίση στην Τουρκια."
"14676";"11:11"
"14677";" via @sport24"
"14678";"Ολυμπιακός: Ανανέωσε μέχρι το 2021 ο Βαλμπουενά"
"14679";"Κορυφώνονται σήμερα οι εκδηλώσεις σε όλα τα νησιά της Δωδεκανήσου, για την 72η επέτειο Ενσωμάτωσης της Δωδεκανήσου.  "
"14680";"@aftolykos1 Ζώο"
"14681";"<U+1F49> παππο<U+1FE6>ς Μητσοτάκης καί <U+1F41> Ταγίπ στήν <U+1F34>δια φυλακή τ<U+1FC6>ς Πόλης! <U+1F69>ραιοτάτη σύμπτωσις. "
"14682";"@mmmariap_0 στο Υ ένα Τ κουμπώνει μια χαρά.."
"14683";"@TsitlakidisN Καταρχήν ποιος ρώτησε τη γνώμη της;"
"14684";"Για να ανάψουν τα αίματα τα λέει ωραία η σημαία ο Πανταλεων ή είναι τρακοπαιδο  . #paovolley #paobc #panathinaikos #bepao"
"14685";"<U+2714><U+FE0F>Europeana"
"14686";"Για τις μάσκες: Είναι επικίνδυνο για όλους μας, αν οι γιατροί, οι νοσηλευτές &amp; οι υγειονομικοί υπάλληλοι δεν διαθέτουν τον απαραίτητο προστατευτικό εξοπλισμό."
"14687";"@Sofokleousin Γελοιότητες"
"14688";"@rapidis Επίσης το χοντροκομμένο ψέμα της Τουρκικής προπαγάνδας το οποίο με περίσσια χαρά υιοθετείς, κάνει μπάμ από το γεγονός ότι για να τους ΓΔΥΣΟΥΝ έπρεπε ΠΡΩΤΑ να έχουν μπει σε Ελληνικό έδαφος. Αν είχαν μπει θα είχαν ΣΥΛΛΗΦΘΕΙ δεν θα τους έστελναν ΠΙΣΩ..."
"14689";"@nikospappas16 @ERTsocial Κατέβασέ το το είδαμε"
"14690";"@akonias Επιτέλους!"
"14691";"Κάτι από το live μου στα Μέγαρα"
"14692";"Πάρε μέρος εδώ  #Διαγωνισμός για μια Αναπλαστική Κρέμα Προσώπου με έκκριμα σαλιγκαριού σε 2 τυχερές "
"14693";"Καινοτομίες της TCL στις οθόνες κινητών  "
"14694";"Επιτέλους! Μια σημαντική ενέργεια για τη διευκόλυνση της  #Ηλεκτρονική_Διακυβέρνηση #Κυβέρνηση "
"14695";"Ναταλία Ρωμανού <U+0096> Backstage photos από τα γυρίσματα του νέου της video clip<U+0085>  μέσω του χρήστη @Musicafe.gr"
"14696";"@stavi_neo Αφου τα χουμε να μην τα δείχνουμε?  <U+0001F60B><U+0001F60B><U+0001F60B>"
"14697";"@maria_rfn Ήταν τοπικός..."
"14698";"@mignatiou Κάτι ετοιμάζει....κανένας εφησυχασμός..."
"14699";"4<U+20E3>0<U+20E3> <U+0001F1EC><U+0001F1F7> Σεισμός ML 4.0, 07/03 10:20, βάθος 10 χλμ, 2 χλμ ΒΑ από Αλκυονίδες (Πηγή: GEIN, NOA) #seismos #σεισμος -  "
"14700";"Σαββατιάτικο κούνημα ο εγκέλαδος! #earthquake"
"14701";"Απόσπασμα από το Κεφάλαιο 3.«Ωραία. Πάει και αυτό.» Είπε ικανοποιημένη η Τερέζα. «Είμαι πολύ ευχαριστημένη που ήρθαν έτσι τα πράγματα. Τελικά ήμουν τυχερή μέσα στην ατυχία μου.»«Έτσι είναι.  #amazon   "
"14702";"@filosofosathina Τιν έχεις βρει κάπου??"
"14703";"Στα 90's η μάνα ρέηβερ ανησυχούσε αν το παιδί της θα πάρει τίποτα στα πάρτι που πήγαινε. Σχεδόν 30 χρόνια μετά, και οι πρώην ρέηβερς, ανησυχούν αν οι μάνες τους, θα πάνε στην εκκλησία να μεταλάβουν! Βλέπω κύκλους..."
"14704";"Σεμινάριο Ζαχαροπλαστικής από τον Pastry Chef Στέφανο Καζιάνη.  #μαντέμι mantemi_gr"
"14705";"@teodoro_rico7 Να τέτοια ανεβάζεις κ έχουμε σιελόρροια <U+0001F924> Καλημέρααα"
"14706";"@Smile38445784 Καλημέρα Θένη, όμορφη και χαρούμενη μέρα να έχεις.Καλό Σαββατοκύριακο!"
"14707";"@EfiBad @panagiotisL1 Ισως να πάτε να πάρετε το απολυτήριο του Δημοτικού Θυμάμαι στη Τρίτη τάξη τα παρατήσατε Να τωρα το αποτέλεσμα ! Ξεφτιλίζεστε !"
